n61 r n4.
n10 r n26.
n43 r n61.
n23 r n43.
n57 r n38.
n56 r n37.
n51 r n40.
n3 r n12.
n6 r n31.
n8 r n33.
n8 r n26.
n44 r n58.
n25 r n50.
n57 r n3.
n19 r n4.
n8 r n16.
n9 r n18.
n43 r n52.
n15 r n3.
n31 r n9.
n41 r n24.
n47 r n29.
n0 r n50.
n41 r n6.
n18 r n50.
n40 r n26.
n12 r n20.
n20 r n38.
n7 r n14.
n42 r n26.
n43 r n27.
n4 r n23.
n15 r n19.
n26 r n47.
n29 r n4.
n7 r n12.
n34 r n8.
n62 r n11.
n15 r n16.
n62 r n55.
n43 r n11.
n12 r n0.
n50 r n20.
n14 r n28.
n47 r n33.
n14 r n26.
n61 r n18.
n49 r n13.
n38 r n12.
n60 r n3.
n16 r n4.
n15 r n50.
n12 r n14.
n62 r n27.
n31 r n61.
n19 r n10.
n8 r n31.
n11 r n58.
n52 r n25.
n22 r n35.
n59 r n37.
n61 r n56.
n55 r n47.
n5 r n30.
n59 r n2.
n33 r n12.
n6 r n48.
n63 r n18.
n63 r n62.
n46 r n30.
n59 r n1.
n41 r n3.
n33 r n52.
n62 r n21.
n14 r n20.
n56 r n9.
n57 r n54.
n2 r n49.
n37 r n8.
n15 r n32.
n10 r n48.
n45 r n16.
n33 r n44.
n35 r n33.
n42 r n18.
n63 r n37.
n20 r n40.
n41 r n53.
n29 r n39.
n11 r n43.
n59 r n4.
n53 r n53.
n58 r n55.
n39 r n32.
n0 r n54.
n1 r n10.
n39 r n46.
n27 r n8.
n26 r n63.
n41 r n4.
n17 r n41.
n42 r n37.
n18 r n19.
n27 r n47.
n59 r n39.
n27 r n55.
n43 r n16.
n44 r n38.
n8 r n19.
n6 r n8.
n10 r n8.
n19 r n49.
n54 r n46.
n58 r n16.
n45 r n35.
n21 r n63.
n13 r n0.
n36 r n32.
n20 r n0.
n15 r n15.
n39 r n43.
n6 r n19.
n60 r n50.
n58 r n5.
n6 r n1.
n14 r n16.
n9 r n33.
n1 r n63.
n16 r n59.
n16 r n61.
n31 r n38.
n61 r n45.
n38 r n33.
n13 r n59.
n34 r n29.
n10 r n10.
n29 r n5.
n3 r n24.
n25 r n24.
n26 r n34.
n57 r n28.
n34 r n9.
n24 r n50.
n7 r n56.
n25 r n4.
n37 r n0.
n38 r n51.
n59 r n9.
n16 r n5.
n19 r n25.
n22 r n49.
n30 r n25.
n9 r n40.
n35 r n34.
n0 r n62.
n5 r n58.
n26 r n39.
n4 r n51.
n26 r n12.
n43 r n51.
n17 r n17.
n51 r n55.
n4 r n47.
n1 r n20.
n52 r n20.
n45 r n10.
n5 r n11.
n36 r n15.
n52 r n7.
n49 r n53.
n6 r n55.
n48 r n33.
n30 r n52.
n20 r n57.
n45 r n18.
n16 r n32.
n10 r n20.
n16 r n11.
n31 r n23.
n15 r n37.
n35 r n51.
n52 r n23.
n59 r n38.
n13 r n1.
n29 r n61.
n34 r n60.
n50 r n55.
n54 r n51.
n55 r n35.
n5 r n8.
n4 r n15.
n28 r n20.
n27 r n6.
n24 r n59.
n29 r n40.
n32 r n0.
n27 r n21.
n24 r n22.
n60 r n37.
n24 r n26.
n34 r n59.
n23 r n20.
n50 r n13.
n7 r n42.
n48 r n13.
n50 r n53.
n28 r n15.
n9 r n56.
n21 r n34.
n51 r n51.
n10 r n19.
n51 r n37.
n41 r n11.
n48 r n21.
n0 r n19.
n17 r n23.
n39 r n4.
n36 r n47.
n46 r n21.
n60 r n32.
n10 r n25.
n47 r n19.
n17 r n4.
n53 r n4.
n56 r n0.
n24 r n43.
n38 r n2.
n55 r n34.
n40 r n40.
n56 r n40.
n63 r n35.
n13 r n36.
n18 r n59.
n57 r n15.
n28 r n3.
n40 r n11.
n23 r n58.
n16 r n13.
n63 r n8.
n13 r n24.
n52 r n51.
n26 r n44.
n22 r n3.
n20 r n14.
n52 r n37.
n15 r n6.
n33 r n9.
n22 r n61.
n13 r n63.
n9 r n36.
n57 r n26.
n49 r n56.
n34 r n63.
n50 r n43.
n3 r n8.
n46 r n24.
